gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1933386271	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004245	Animalia	Arthropoda	Insecta	Lepidoptera	Sphingidae	Agrius	Agrius convolvuli		SPECIES	Herse convolvuli (Linnaeus, 1758)	Herse convolvulus		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1966-04-10	10	4	1966	9588330	1861644	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.535Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386270	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004242	Animalia	Arthropoda	Insecta	Lepidoptera	Sphingidae	Agrius	Agrius convolvuli		SPECIES	Herse convolvuli (Linnaeus, 1758)	Herse convolvulus		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1965-01-16	16	1	1965	9588330	1861644	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.535Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386269	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004224	Animalia	Arthropoda	Insecta	Lepidoptera	Saturniidae	Goodia			GENUS	Goodia Holland, 1893	Goodia kuntzei		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1978-10-26	26	10	1978	1866603		PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.488Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386268	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004198	Animalia	Arthropoda	Insecta	Lepidoptera	Saturniidae	Goodia			GENUS	Goodia Holland, 1893	Goodia kuntzei		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1916-03-06	6	3	1916	1866603		PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.563Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386267	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004238	Animalia	Arthropoda	Insecta	Lepidoptera	Sphingidae	Agrius	Agrius convolvuli		SPECIES	Herse convolvuli (Linnaeus, 1758)	Herse convolvulus		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1942-10-29	29	10	1942	9588330	1861644	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.534Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386266	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004187	Animalia	Arthropoda	Insecta	Lepidoptera	Saturniidae	Goodia			GENUS	Goodia Holland, 1893	Goodia kuntzei		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1963-02-01	1	2	1963	1866603		PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.560Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386265	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004200	Animalia	Arthropoda	Insecta	Lepidoptera	Saturniidae	Goodia			GENUS	Goodia Holland, 1893	Goodia kuntzei		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1960-02-20	20	2	1960	1866603		PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.549Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386264	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004239	Animalia	Arthropoda	Insecta	Lepidoptera	Sphingidae	Agrius	Agrius convolvuli		SPECIES	Herse convolvuli (Linnaeus, 1758)	Herse convolvulus		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1932-05-19	19	5	1932	9588330	1861644	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.535Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386263	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004189	Animalia	Arthropoda	Insecta	Lepidoptera	Saturniidae	Goodia			GENUS	Goodia Holland, 1893	Goodia kuntzei		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1943-02-18	18	2	1943	1866603		PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.559Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386262	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004237	Animalia	Arthropoda	Insecta	Lepidoptera	Sphingidae	Agrius	Agrius convolvuli		SPECIES	Herse convolvuli (Linnaeus, 1758)	Herse convolvulus		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1927-04-27	27	4	1927	9588330	1861644	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.534Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_FUZZY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
